filename,caption
0092a929(1).jpg,"광택 있는 빨간 사과와 집게, 파란 쓰레받기를 사선 구도로 묘사한 기초디자인 작품"
1042308a(1).jpg,"원뿔과 원기둥, 나무토막, 소라 껍데기를 무채색 연필 질감으로 묘사한 소묘 작품"
1e8f772e(1).jpg,물이 흘러내리는 층층 구조물과 원근감 있는 거리를 연필과 색연필로 그린 사고의전환 작품
2d487e59(1).jpg,주방저울을 뒤덮은 얼음과 쏟아지는 물의 투명한 질감을 극대화한 기초디자인 작품
3f531994(1).jpg,빨대와 이쑤시개로 부르주아의 거미 조각을 경쾌한 색감으로 재해석한 발상과표현 작품
510476f9(1)(1).jpg,두 손 위로 쏟아지는 원색 나무블록을 아치형 구도의 색연필로 그린 발상과표현 작품
5ded0f8d(1).jpg,"맥주잔의 거품과 황금빛 그릇, 붉은 천의 역동적인 흩어짐을 묘사한 기초디자인 작품"
695b3e28(1).jpg,"녹아내리는 빌딩과 물방울, 푸른 동심원으로 도시 속 물의 순환을 상징한 발상과표현 작품"
7600f15c(1).jpg,"전구와 연필, 물이 담긴 유리구슬의 투명한 질감을 강조한 기초디자인 작품"
81561fc4(1).jpg,"해바라기, 토마토, 전구 등 다양한 소재의 개체 묘사를 한 화면에 모은 기초디자인 작품"
8beb0c82(1).jpg,의자에 앉은 청년의 인체 비례와 양감을 연필 명암으로 묘사한 인물 소묘 작품
97dce5fa(1).jpg,무채색 은박 포장의 금속 질감 위에 알록달록한 크레파스를 대비시킨 사고의전환 작품
a2787de9(1).jpg,짙은 남색 배경 위 브로콜리와 금속 컵의 질감 대비를 살린 기초디자인 작품
adace421(1).jpg,그리드 원근의 실내 공간에 거울과 다면체를 배치해 공간감을 살린 사고의전환 작품
b8d89f31(1)(1).jpg,초록 압정과 나무 포크가 손거울에 비치는 반사 표현이 돋보이는 기초디자인 작품
c3e18790(1).jpg,파인애플과 찌그러진 통조림 캔의 질감을 역동적 구도로 대비시킨 기초디자인 작품
cef37c9f-574b-48b7-863c-9141932cf1ec(1).jpg,물결 파동과 구체가 어우러진 병의 연필 정밀 묘사가 돋보이는 사고의전환 작품
db89c27c(1).jpg,숲속 빨간 클래식 자동차를 퍼즐 조각처럼 분할된 화면으로 재구성한 발상과표현 작품
e73396a8(1).jpg,초록과 노랑 톱니바퀴가 맞물린 기계 장치를 흰 여백과 대비시킨 발상과표현 작품
f2e123f6(1).jpg,구겨진 흰 종이 상자의 주름과 미묘한 명암을 섬세하게 묘사한 소묘 작품
